Id,Last
1,12
2,28
4,52
5,51
6,71
9,49
10,31
12,16
14,14
17,16
19,46
22,29
25,71
27,20
29,43
30,78
31,55
32,28
33,43
37,63
38,8
39,3
42,27
43,15
45,105
47,31
48,44
50,8
54,39
55,28
56,18
58,85
60,18
62,103
68,74
70,45
71,64
74,43
78,29
79,62
80,31
81,13
83,99
84,24
85,17
87,27
88,91
90,23
93,23
96,68
97,67
98,3
99,19
101,8
103,33
106,70
114,56
115,41
116,70
117,101
120,47
121,19
122,78
124,31
125,70
127,74
128,49
129,14
131,47
138,17
140,50
142,46
143,26
144,30
145,22
146,30
148,16
151,11
153,47
154,53
156,13
157,51
161,57
169,11
170,73
172,61
173,61
175,28
180,73
182,51
183,52
184,17
187,46
189,15
191,51
193,55
194,35
195,81
196,38
197,57
199,55
200,16
201,23
206,24
207,28
209,47
214,23
216,56
218,16
228,52
230,55
231,25
232,18
233,99
234,27
235,56
236,46
239,35
240,43
243,9
247,3
248,29
250,21
252,20
253,79
257,22
260,91
261,48
265,101
267,21
269,49
270,85
273,14
274,99
279,78
281,75
283,15
285,28
287,34
291,9
292,31
301,20
307,19
309,11
312,48
314,14
316,36
321,9
322,105
324,30
325,16
330,74
331,18
333,99
337,18
338,63
341,22
342,8
343,7
344,3
345,18
346,14
348,21
349,78502725751
351,70
353,29
355,17
356,56
357,81
358,31
360,99
362,9
363,4
364,43
365,34
367,39
368,29
369,105
370,55
371,15
375,69
376,67
380,3
381,61
382,24
383,54
384,62
385,94
388,46
389,5
390,17
391,12
393,77
396,47
397,51
398,44
399,105
401,50
402,28
404,17
405,17
407,96
409,79
411,22
412,25
413,43
414,57
416,106929
417,101
418,19
419,22
422,20
423,18
424,28
427,40
432,23
433,67
435,21
440,43
442,105
445,17
446,66
449,56
450,34
452,9
453,15
454,22
456,7
457,9
459,83
460,29
462,12
465,83
468,17
471,28
472,17
473,31
474,30
476,52
478,32
480,64
481,33
482,67
484,105
485,57
487,8
488,9
489,57
491,77
493,59
495,15
496,66
497,74
498,33
500,63
501,43
504,26
507,33
508,68
509,97
512,21
513,47
514,58
522,5
523,53
524,43
527,49
528,44
529,103
530,28
531,99
532,91
536,51
537,35
538,73
539,78
542,73
543,30
544,29
545,18
547,26
548,21
550,36
551,99
552,29
553,14
560,40
561,54
562,53
563,27
564,16
565,24
567,14
570,38
573,74
574,8
575,8
576,93
577,94
580,84
583,67
586,14
587,87
591,29
593,78
594,25
596,27
599,74
600,66
603,29
605,4
607,43
613,57
616,146375
617,8
625,13
626,82
629,33
633,23
635,17
636,56
639,38
640,30
642,3
647,69
648,28
649,17
650,3
652,15
654,13
656,38
663,9
665,58
666,63
668,13
670,11
672,26
673,17
675,53
676,49
677,34
679,48
680,8
681,97
684,12
685,18
687,25
688,23
690,12
691,105
695,66
699,5
701,105
702,75
703,32
708,31
709,40
710,101
711,17
712,7
715,7
716,70
717,56
719,63
720,24
723,54
724,47
725,61
726,48
727,14
728,9
736,4
739,39
740,21
741,99
742,15
743,105
745,99
748,58
749,3
751,5
752,57
753,51
754,16
755,27
757,85
758,99
760,45
761,21
762,48
763,59
765,6
767,34
768,28
769,85
772,34
773,43
774,16
778,29
779,77
781,101
782,64
783,23
787,26
788,50
791,83
795,75
798,28
799,7
800,47
802,21
806,39
808,18
811,16
812,25
814,61
815,41
818,43
819,21
821,47
822,45
825,40
835,65
836,99
837,55
838,16
839,95
840,25
841,45
844,17
845,14
846,14
849,43
851,9
852,18
855,18
856,4
860,105
861,73
864,23
866,5
867,83
868,100
869,36
871,16
872,36
877,18
878,91
879,41
880,53
882,101
885,63
887,27
890,19
892,15
896,32
897,30
898,17
900,18
901,100
902,26
903,66
904,39
906,3
907,48
908,86
913,16
914,46
915,50
916,41
918,70
919,17
921,18
922,45
925,43
927,55
928,21
929,40
936,61
940,29
941,7
942,18
943,31
944,28
946,33
947,27
950,15
952,12
953,19
955,29
957,99
960,61
961,22
964,40
967,52
969,83
974,4
985,11
986,61
988,28
991,20
993,77
994,6
998,9
1000,79
1001,57
1002,3
1004,36
1005,20
1006,14
1009,21
1010,75
1011,53
1013,78
1014,29
1017,56
1018,100
1019,38
1020,8
1021,19
1024,38
1026,52
1027,7
1029,11
1030,24
1031,105
1033,73
1034,20
1035,19
1039,34
1040,19
1041,14
1044,5919984
1045,56
1046,13
1047,40
1048,9
1049,26
1051,35
1057,3
1059,24
1060,40
1063,64
1067,86
1081,43
1084,16
1085,11
1087,13
1088,13
1089,25
1090,17
1092,45
1093,73
1094,16
1095,61
1096,8
1097,6
1099,27
1104,35
1106,22
1108,32
1111,8
1112,103
1118,13
